target,R2,MAE,RMSE,mean_val,MAE_pct
matte_Cu_pct,0.9998296885199303,0.0638345249430339,0.14270673528712957,62.726381666666676,0.10176663031873255
matte_Fe_pct,0.9999439855625513,0.03823399567048766,0.05871419638796025,11.991436576333331,0.3188441637255327
matte_S_pct,0.9976827559309565,0.017735850537617986,0.11591220746623349,23.938616666666668,0.07408886981474697
matte_Ni_pct,0.9967123625482195,0.006885061772739218,0.027977166886483912,0.4333688145833333,1.5887303241602486
matte_Zn_pct,0.9998189533033301,0.007824554497069458,0.013686461401821764,0.8844122469666669,0.8847180174071427
matte_Pb_pct,0.9913273065685216,0.00011681639233756816,0.0005113601992145466,0.0077100620900000015,1.5151161037870207
matte_As_pct,1.0,0.0,0.0,0.0,
matte_mass_g,0.9998362368267473,0.047375165112908665,0.09634297685455633,30.742214983333337,0.15410459245891278
slag_Cu_pct,0.8890498618559496,0.18067757361560197,0.9317823757768261,1.164129996644303,15.520394984788588
slag_FeO_pct,0.999489929874805,0.13080504029925677,0.2192363549447239,40.823650333333326,0.3204148556809773
slag_SiO2_pct,0.9981095315937598,0.11406082021077477,0.2554955952259234,38.59129333333333,0.29556102000928386
slag_FeO_SiO2_ratio,0.9973305714174162,0.006833366853358958,0.01959903806367266,1.1138528351754482,0.6134892005084857
slag_Al2O3_pct,0.9964610115990976,0.05556616347122192,0.1250218966681061,5.1339205,1.0823339292305347
slag_CaO_pct,0.9974511006092899,0.04881534509308338,0.1320623086088994,3.2070087583333335,1.522145674415073
slag_MgO_pct,0.9977082340924615,0.03000053865416844,0.054504324808362335,2.55955305,1.172100678052695
slag_ZnO_pct,0.9980928363591118,0.031174865236282347,0.08906905153268484,2.5021729666666666,1.245911679631514
slag_mass_g,0.993542804331429,0.2916689161218007,0.8699374091519646,37.00559466666667,0.7881751901274695
gas_SO2_mol,0.9969286146160405,0.00014560163567860996,0.000789131641808143,0.98146795,0.014835088163460658
gas_S2_mol,0.999857104321237,8.136686797166526e-05,0.00013664057930923656,0.013134128569012834,0.6195071682458857
gas_SO_mol,0.9998599969884148,5.580106732410492e-06,8.883936511120692e-06,0.0021352956866666664,0.26132712051329043
gas_SSO_mol,0.9998747652913326,9.145267688107793e-06,1.3999940852115213e-05,0.0018111630550283334,0.504938948634016
gas_SO3_mol,0.971108563974938,6.316244913311099e-07,2.0789270592382773e-06,7.262518666666666e-06,8.697044652430634
gas_Zn_mol,0.9995990254705719,1.52511583196271e-06,2.91285459700389e-06,0.0001627719536666667,0.93696475197805
gas_PbS_mol,0.9907953196781661,6.455817426428794e-08,2.9809564071815563e-07,4.7149925015e-06,1.3692105394388174
gas_CuS_mol,0.9997226079222009,2.0311067515164357e-09,3.596843535182822e-09,7.77981838e-07,0.26107380048073
gas_Pb_mol,0.9837657848726243,5.1754228368306105e-09,2.0110828581717825e-08,1.9193713333333334e-07,2.696415616379223
gas_Sb_mol,0.8953284878123074,9.43722499013384e-08,3.656215286207468e-07,3.645109605e-07,25.890099373661602
gas_As_mol,0.9941049842061909,1.0360145882652826e-08,4.836962317980006e-08,2.9762788508333333e-07,3.4809056549765396
gas_mass_g,0.9998953787434761,0.02593045945485437,0.045797058523654025,29.724808333333335,0.08723507705775856
