T(℃),P(atm),Cu(g),S(g),Fe(g),SiO2(g),Pb(g),Zn(g),MgO(g),Al2O3(g),Ni(g),Sb(g),Bi(g),CaO(g),As(g),O2(g),matte_Cu_pct,matte_Fe_pct,matte_S_pct,matte_Ni_pct,matte_Zn_pct,matte_Pb_pct,matte_As_pct,matte_mass_g,slag_Cu_pct,slag_FeO_pct,slag_SiO2_pct,slag_FeO_SiO2_ratio,slag_Al2O3_pct,slag_CaO_pct,slag_MgO_pct,slag_ZnO_pct,slag_mass_g,gas_SO2_mol,gas_S2_mol,gas_SO_mol,gas_SSO_mol,gas_SO3_mol,gas_Zn_mol,gas_PbS_mol,gas_CuS_mol,gas_Pb_mol,gas_Sb_mol,gas_As_mol,gas_mass_g
1200.0,1.0,19.757,16.287,26.999,15.57,0.396,0.701,2.858,0.868,0.329,0.05,0.01,0.38,0.017,21.0,75.685,1.9131,21.146,0.8882,0.35971,0.0014319,0.0,25.798,0.6286909329792438,38.061,42.656,0.8922777569392348,3.7909,2.5207,3.9582,4.4188,13.538,0.99613,0.0012071,0.0013419,0.0003315,7.1826e-06,0.00018623,8.8123e-07,6.2097e-07,8.6544e-08,1.2434e-07,4.9086e-08,21.406
1200.0,1.0,18.649,28.969,23.423,15.846,0.603,2.205,2.085,0.858,0.247,0.068,0.029,0.513,0.696,21.0,47.355,22.049,27.188,0.49936,2.8268,0.01383,0.0,38.654,0.46296500454259554,43.651,36.152,1.2074297410931623,2.1372,1.3664,3.6105,3.6997,36.119,0.95613,0.033007,0.0030065,0.0038836,2.9537e-06,0.00035004,7.8112e-06,8.8895e-07,1.467e-07,9.5895e-09,1.6952e-06,34.31
1200.0,1.0,18.771,22.33,19.687,24.081,0.529,2.885,1.775,1.347,0.213,0.09,0.009,0.774,0.003,21.0,66.987,7.785,23.046,0.51642,1.6588,0.0058781,0.0,27.438,0.45028176182822,41.303,40.355,1.0234915128236897,2.644,1.5193,3.4841,5.9067,50.595,0.9873,0.0079365,0.0021393,0.0013551,4.426e-06,0.00038782,3.3445e-06,8.7801e-07,1.281e-07,3.3775e-08,4.4831e-09,30.994
1200.0,1.0,17.284,15.986,23.988,21.932,0.387,0.55,1.175,2.36,0.076,0.055,0.013,2.806,0.023,21.0,79.006,0.39816,20.431,0.11508,0.037637,0.0016653,0.0,21.283,0.9611908449227758,26.203,50.11,0.5229095988824586,7.0579,8.3917,3.5139,1.832,33.433,0.99803,0.00017617,0.00083023,7.8351e-05,1.1654e-05,4.6967e-05,9.9689e-07,4.0165e-07,2.5627e-07,5.3138e-07,2.7879e-08,23.1
1200.0,1.0,18.745,25.783,22.733,16.498,0.294,1.215,1.721,1.181,0.194,0.073,0.02,0.477,0.388,21.0,55.368,17.269,25.573,0.4848,1.2641,0.0092556,0.0,33.343,0.46110870361311057,45.696,36.663,1.2463791833728828,2.6782,1.1101,3.5111,2.2891,42.075,0.97161,0.020976,0.002706,0.0027865,3.3888e-06,0.00019312,5.7829e-06,9.2643e-07,1.3624e-07,1.4295e-08,6.8608e-07,32.672
1200.0,1.0,20.073,35.565,24.8,7.148,0.773,3.21,0.832,1.255,0.051,0.062,0.032,0.654,0.787,21.0,37.974,28.431,29.071,0.073422,4.3523,0.023564,0.0,51.893,0.5867864938150814,44.193,26.862,1.6451865088228725,4.7398,2.5051,2.8649,4.4127,24.862,0.95104,0.036985,0.003085,0.0042184,2.848e-06,0.00053041,1.2432e-05,7.3051e-07,2.2056e-07,8.0216e-09,1.9435e-06,37.696
1200.0,1.0,21.687,20.987,23.339,15.508,0.018,0.509,5.813,0.485,0.703,0.074,0.009,0.226,0.01,21.0,70.52,5.6115,22.279,1.2295,0.35435,0.0023621,0.0,30.695,0.4175255999720456,41.999,39.829,1.0544829144593135,5.1739,2.3598,3.8878,1.8455,7.9915,0.99206,0.0042922,0.001839,0.00085666,5.1985e-06,0.00010655,1.5e-06,7.9314e-07,7.8119e-08,5.0974e-08,5.3337e-08,28.121
1200.0,1.0,19.264,19.228,28.4,14.023,0.389,0.618,1.143,1.56,0.443,0.076,0.01,0.691,0.015,21.0,65.477,9.4822,23.368,1.2242,0.4444,0.00339,0.0,28.976,0.4345786994199455,46.139,36.984,1.2475394765303915,4.1143,1.8224,3.0145,1.5095,37.609,0.98747,0.0079357,0.0021395,0.0013551,4.4272e-06,0.00010423,2.1847e-06,8.5908e-07,8.3677e-08,3.5225e-08,2.0933e-08,24.075
1200.0,1.0,17.942,33.357,22.172,15.735,0.876,3.662,0.808,0.904,0.028,0.061,0.032,0.328,0.843,21.0,39.681,26.298,28.745,0.042785,5.0911,0.029116,0.0,44.227,0.4942734293102243,41.795,35.434,1.1795168482248688,2.986,1.0834,2.6689,5.7131,29.274,0.93701,0.047984,0.0032681,0.0050901,2.6097e-06,0.00054137,1.4179e-05,8.1439e-07,2.2086e-07,6.5438e-09,2.6926e-06,37.776
1200.0,1.0,19.127,27.512,23.978,15.598,0.243,0.975,1.387,1.455,0.34,0.068,0.018,0.246,0.309,21.0,51.343,20.34,26.422,0.82351,1.0395,0.0086813,0.0,36.729,0.4670151156614718,46.328,36.705,1.2621713662988696,3.4239,0.57889,3.2639,1.7234,41.685,0.9652,0.026839,0.0028685,0.0033413,3.1548e-06,0.00014116,5.6608e-06,9.133e-07,1.179e-07,1.1339e-08,5.8758e-07,33.413
